SubjectID	SubjectAge	SessionTime	TaskName	BlockCount	TrialCount_InTask	TrialCount_InBlock	CurrentTrialState	Frame	FrameStartUnity	ReferenceEventCodes	FrameEventCodes	FlashPanelLStatus	FlashPanelLStatus	MousePosition	MouseButtonStatus	SimpleRaycastTarget	ShotgunModalTarget	FeedbackOn	PlayingAudioClipName	HaloType	SliderAnimationPhase	SliderVisibility	ContextName	ChoiceMade	SelectedObject	StartedMaze
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	0	0	LoadTrialTextures	340	11.44743		101,3,201	0	1	(932.00, 510.00, 0.00)	[0,0,0]	LoadingStar	LoadingStar	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	LoadTrialStims	341	11.48079			1	1	(932.00, 510.00, 0.00)	[0,0,0]	LoadingStar	LoadingStar	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	LoadTrialStims	342	11.81412		80	0	0	(932.00, 510.00, 0.00)	[0,0,0]	LoadingStar	LoadingStar	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	SetupTrial	343	11.83082		1001	1	1	(932.00, 510.00, 0.00)	[0,0,0]	null	null	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	344	11.84747			0	1	(932.00, 510.00, 0.00)	[0,0,0]	null	null	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	345	12.09746			1	1	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	346	12.11411		43	0	0	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	347	12.13081			1	0	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	348	12.14746			0	0	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	349	12.18081			1	0	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	350	12.21415			0	0	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	351	12.24747			1	1	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	352	12.28082			0	0	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
Player	50	Session_10_25_23__14_07_43_Player	MazeGame	1	1	1	InitTrial	353	12.31412			1	1	(932.00, 510.00, 0.00)	[0,0,0]	MainCircle	MainCircle	False	null	None	None	False	007_033_072_001_1	False		False
